,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track
6,7,8,14,Clint Bowyer,Haas Automation (Stewart Haas Racing),Ford,500,running,0,31,0,Martinsville
7,8,11,31,Ryan Newman,Chevrolet (Richard Childress),Chevrolet,500,running,0,29,0,Martinsville
8,9,25,20,Matt Kenseth,Tide Pods (Joe Gibbs),Toyota,500,running,0,32,0,Martinsville
9,10,24,17,"Ricky Stenhouse, Jr.",Fastenal / MCR Safety (Jack Roush),Ford,500,running,0,27,0,Martinsville
10,11,33,37,Chris Buescher,Bush's Beans / Scott / Clorox / Tide (JTG-Daugherty Racing),Chevrolet,500,running,0,26,0,Martinsville
11,12,15,77,Erik Jones,5-hour Energy Extra Strength (Barney Visser),Toyota,500,running,0,28,0,Martinsville
12,13,16,6,Trevor Bayne,AdvoCare (Jack Roush),Ford,500,running,0,26,0,Martinsville
13,14,13,5,Kasey Kahne,Great Clips (Rick Hendrick),Chevrolet,500,running,0,24,0,Martinsville
14,15,17,48,Jimmie Johnson,Lowe's (Rick Hendrick),Chevrolet,500,running,0,32,0,Martinsville
15,16,3,78,"Martin Truex, Jr.",Furniture Row / Denver Mattress (Barney Visser),Toyota,500,running,42,31,1,Martinsville
16,17,1,42,Kyle Larson,Target / Cottonelle (Chip Ganassi),Chevrolet,500,running,23,25,0,Martinsville
17,18,18,43,Aric Almirola,STP (Richard Petty Motorsports),Ford,500,running,0,19,0,Martinsville
18,19,22,27,Paul Menard,Duracell / Menards (Richard Childress),Chevrolet,500,running,0,18,0,Martinsville
19,20,9,4,Kevin Harvick,Jimmy John's (Stewart Haas Racing),Ford,500,running,0,17,0,Martinsville
20,21,31,72,Cole Whitt,Bad Boy Mowers (Mark Smith),Chevrolet,499,running,0,16,0,Martinsville
21,22,23,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,499,running,0,15,0,Martinsville
22,23,29,10,Danica Patrick,TaxAct (Stewart Haas Racing),Ford,499,running,0,14,0,Martinsville
23,24,34,38,David Ragan,Camping World / Good Sam (Bob Jenkins),Ford,498,running,0,13,0,Martinsville
24,25,7,21,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,498,running,0,22,0,Martinsville
25,26,26,95,Michael McDowell,WRL General Contractors (Leavine Family Racing),Chevrolet,497,running,0,11,0,Martinsville
26,27,27,34,Landon Cassill,FR8 Auctions (Bob Jenkins),Ford,497,running,0,10,0,Martinsville
27,28,35,83,Corey LaJoie,RMC Events (BK Racing),Toyota,496,running,0,9,0,Martinsville
28,29,37,23,Gray Gaulding,SunFrog.com (BK Racing),Toyota,495,running,0,8,0,Martinsville
29,30,12,11,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,493,running,24,16,0,Martinsville
30,31,32,15,Reed Sorenson,Premium Motorsports (Jay Robinson),Chevrolet,492,running,0,6,0,Martinsville
